survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,alive,alone
0,1,male,64.0,1,4,263.0,First,man,True,no,False
0,3,female,25.0,0,0,7.775,Third,woman,False,no,True
0,3,female,,0,0,8.05,Third,woman,False,no,True
1,3,male,1.0,1,2,20.575,Third,child,False,yes,False
0,3,male,45.0,0,0,6.975,Third,man,True,no,True
0,2,male,31.0,1,1,26.25,Second,man,True,no,False
0,3,female,21.0,1,0,9.825,Third,woman,False,no,False
0,3,male,25.0,0,0,7.8958,Third,man,True,no,True
1,1,female,15.0,0,1,211.3375,First,child,False,yes,False
0,3,male,26.0,0,0,7.8875,Third,man,True,no,True
0,2,male,30.0,0,0,10.5,Second,man,True,no,True
1,1,female,24.0,0,0,69.3,First,woman,False,yes,True
0,2,male,35.0,0,0,10.5,Second,man,True,no,True
0,2,male,70.0,0,0,10.5,Second,man,True,no,True
0,1,male,,0,0,0.0,First,man,True,no,True
0,3,male,21.0,0,0,16.1,Third,man,True,no,True
1,3,female,18.0,0,1,9.35,Third,woman,False,yes,False
0,3,female,,0,0,8.1375,Third,woman,False,no,True
0,3,male,1.0,5,2,46.9,Third,child,False,no,False
0,3,female,,8,2,69.55,Third,woman,False,no,False
1,3,male,26.0,0,0,56.4958,Third,man,True,yes,True
1,3,male,25.0,1,0,7.775,Third,man,True,yes,False
0,2,male,,0,0,0.0,Second,man,True,no,True
0,3,male,20.0,0,0,9.5,Third,man,True,no,True
1,1,female,54.0,1,0,78.2667,First,woman,False,yes,False
0,3,male,22.0,0,0,8.05,Third,man,True,no,True
0,2,male,59.0,0,0,13.5,Second,man,True,no,True
1,2,female,54.0,1,3,23.0,Second,woman,False,yes,False
1,1,male,27.0,0,0,30.5,First,man,True,yes,True
0,1,male,31.0,1,0,52.0,First,man,True,no,False
0,1,male,22.0,0,0,135.6333,First,man,True,no,True
0,1,male,33.0,0,0,5.0,First,man,True,no,True
1,3,male,6.0,0,1,12.475,Third,child,False,yes,False
1,3,female,5.0,4,2,31.3875,Third,child,False,yes,False
0,1,male,39.0,0,0,0.0,First,man,True,no,True
0,3,male,24.5,0,0,8.05,Third,man,True,no,True
0,2,male,54.0,0,0,14.0,Second,man,True,no,True
0,3,male,,0,0,7.55,Third,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,3,male,30.0,0,0,7.2292,Third,man,True,no,True
1,3,female,,0,0,7.8792,Third,woman,False,yes,True
1,1,female,35.0,0,0,512.3292,First,woman,False,yes,True
1,1,female,21.0,0,0,77.9583,First,woman,False,yes,True
1,1,male,32.0,0,0,30.5,First,man,True,yes,True
0,3,male,16.0,0,0,9.5,Third,man,True,no,True
1,3,female,22.0,0,0,7.25,Third,woman,False,yes,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,1,male,38.0,1,0,90.0,First,man,True,yes,False
0,3,male,,8,2,69.55,Third,man,True,no,False
0,2,male,25.0,1,0,26.0,Second,man,True,no,False
1,2,female,33.0,1,2,27.75,Second,woman,False,yes,False
1,3,female,,1,0,16.1,Third,woman,False,yes,False
0,1,male,18.0,1,0,108.9,First,man,True,no,False
0,3,male,,1,0,16.1,Third,man,True,no,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,3,male,2.0,4,1,39.6875,Third,child,False,no,False
1,3,male,0.42,0,1,8.5167,Third,child,False,yes,False
0,2,male,26.0,0,0,10.5,Second,man,True,no,True
0,3,male,41.0,0,0,7.125,Third,man,True,no,True
1,1,male,48.0,1,0,76.7292,First,man,True,yes,False
1,2,female,48.0,1,2,65.0,Second,woman,False,yes,False
1,1,female,48.0,1,0,39.6,First,woman,False,yes,False
0,3,male,4.0,4,2,31.275,Third,child,False,no,False
1,1,female,39.0,1,0,55.9,First,woman,False,yes,False
1,3,female,33.0,3,0,15.85,Third,woman,False,yes,False
0,2,male,29.0,0,0,10.5,Second,man,True,no,True
0,1,male,49.0,1,1,110.8833,First,man,True,no,False
0,3,male,,8,2,69.55,Third,man,True,no,False
0,3,male,,0,0,7.2292,Third,man,True,no,True
0,1,male,42.0,1,0,52.0,First,man,True,no,False
1,1,female,36.0,0,2,71.0,First,woman,False,yes,False
0,1,male,61.0,0,0,33.5,First,man,True,no,True
0,3,female,18.0,0,0,6.75,Third,woman,False,no,True
1,3,female,18.0,0,0,7.4958,Third,woman,False,yes,True
1,2,male,0.67,1,1,14.5,Second,child,False,yes,False
1,3,male,32.0,0,0,56.4958,Third,man,True,yes,True
0,3,male,,0,0,8.05,Third,man,True,no,True
0,3,male,,0,0,8.05,Third,man,True,no,True
0,3,female,,1,0,14.4542,Third,woman,False,no,False
0,3,male,16.0,0,0,8.05,Third,man,True,no,True
1,1,male,31.0,1,0,57.0,First,man,True,yes,False
1,1,male,48.0,0,0,26.55,First,man,True,yes,True
1,3,male,22.0,0,0,7.225,Third,man,True,yes,True
1,3,female,13.0,0,0,7.2292,Third,child,False,yes,True
0,3,male,32.0,1,0,15.85,Third,man,True,no,False
0,3,male,28.0,2,0,7.925,Third,man,True,no,False
0,2,male,46.0,0,0,26.0,Second,man,True,no,True
0,3,male,28.0,0,0,7.7958,Third,man,True,no,True
0,2,male,42.0,1,0,27.0,Second,man,True,no,False
0,3,male,35.0,0,0,8.05,Third,man,True,no,True
0,3,female,2.0,3,2,27.9,Third,child,False,no,False
1,3,female,31.0,0,0,8.6833,Third,woman,False,yes,True
1,3,female,,1,0,15.5,Third,woman,False,yes,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,2,female,19.0,1,0,26.0,Second,woman,False,yes,False
0,3,male,20.0,0,0,8.6625,Third,man,True,no,True
0,3,male,14.0,5,2,46.9,Third,child,False,no,False
1,2,female,34.0,0,1,23.0,Second,woman,False,yes,False
1,3,female,,0,0,7.7375,Third,woman,False,yes,True
1,3,female,,0,0,7.75,Third,woman,False,yes,True
0,3,male,51.0,0,0,7.75,Third,man,True,no,True
0,3,female,,0,0,7.6292,Third,woman,False,no,True
1,3,female,,0,0,7.75,Third,woman,False,yes,True
1,3,female,,0,0,7.75,Third,woman,False,yes,True
0,3,male,28.0,0,0,9.5,Third,man,True,no,True
0,2,male,25.0,0,0,13.0,Second,man,True,no,True
0,1,male,19.0,3,2,263.0,First,man,True,no,False
0,3,male,35.0,0,0,7.8958,Third,man,True,no,True
1,1,female,35.0,1,0,83.475,First,woman,False,yes,False
1,3,male,9.0,1,1,15.9,Third,child,False,yes,False
0,3,male,20.0,0,0,4.0125,Third,man,True,no,True
1,2,male,42.0,0,0,13.0,Second,man,True,yes,True
0,2,male,30.0,0,0,13.0,Second,man,True,no,True
0,2,male,,0,0,0.0,Second,man,True,no,True
1,3,male,21.0,0,0,7.7958,Third,man,True,yes,True
0,3,male,47.0,0,0,7.25,Third,man,True,no,True
0,1,female,25.0,1,2,151.55,First,woman,False,no,False
0,3,male,16.0,0,0,9.2167,Third,man,True,no,True
0,1,male,45.0,1,0,83.475,First,man,True,no,False
0,3,male,38.0,0,0,8.6625,Third,man,True,no,True
1,1,male,56.0,0,0,35.5,First,man,True,yes,True
1,3,female,,1,1,22.3583,Third,woman,False,yes,False
0,1,male,31.0,0,0,50.4958,First,man,True,no,True
1,1,female,30.0,0,0,93.5,First,woman,False,yes,True
0,1,male,,0,0,27.7208,First,man,True,no,True
0,3,female,14.0,0,0,7.8542,Third,child,False,no,True
1,3,female,16.0,0,0,7.7333,Third,woman,False,yes,True
0,3,female,40.0,1,0,9.475,Third,woman,False,no,False
0,1,male,55.0,0,0,30.5,First,man,True,no,True
0,3,male,19.0,0,0,7.775,Third,man,True,no,True
1,1,male,45.0,0,0,26.55,First,man,True,yes,True
1,1,female,36.0,1,2,120.0,First,woman,False,yes,False
1,3,female,27.0,0,0,7.925,Third,woman,False,yes,True
1,1,female,49.0,1,0,76.7292,First,woman,False,yes,False
1,1,female,41.0,0,0,134.5,First,woman,False,yes,True
0,1,male,19.0,1,0,53.1,First,man,True,no,False
0,3,male,33.0,0,0,7.775,Third,man,True,no,True
1,1,male,27.0,1,0,53.1,First,man,True,yes,False
0,1,male,,0,0,27.7208,First,man,True,no,True
1,1,male,35.0,0,0,26.2875,First,man,True,yes,True
0,3,female,29.0,1,1,10.4625,Third,woman,False,no,False
1,2,female,30.0,3,0,21.0,Second,woman,False,yes,False
0,3,male,34.0,0,0,8.05,Third,man,True,no,True
1,3,male,29.0,0,0,7.8958,Third,man,True,yes,True
1,1,female,19.0,0,0,30.0,First,woman,False,yes,True
1,1,female,35.0,0,0,135.6333,First,woman,False,yes,True
0,3,male,,8,2,69.55,Third,man,True,no,False
1,2,female,40.0,0,0,15.75,Second,woman,False,yes,True
0,1,male,62.0,0,0,26.55,First,man,True,no,True
0,3,female,25.0,1,0,7.925,Third,woman,False,no,False
0,3,male,26.0,0,0,8.05,Third,man,True,no,True
0,3,female,18.0,0,1,14.4542,Third,woman,False,no,False
0,2,male,34.0,1,0,21.0,Second,man,True,no,False
0,3,male,48.0,0,0,7.8542,Third,man,True,no,True
0,3,male,28.0,0,0,7.8958,Third,man,True,no,True
0,3,male,24.0,2,0,24.15,Third,man,True,no,False
1,2,female,17.0,0,0,12.0,Second,woman,False,yes,True
1,1,female,38.0,1,0,71.2833,First,woman,False,yes,False
0,3,male,,0,0,7.2292,Third,man,True,no,True
0,3,male,40.0,0,0,7.8958,Third,man,True,no,True
0,3,male,22.0,0,0,9.0,Third,man,True,no,True
0,3,female,2.0,0,1,10.4625,Third,child,False,no,False
0,1,male,28.0,1,0,82.1708,First,man,True,no,False
0,3,male,18.0,0,0,7.75,Third,man,True,no,True
0,3,male,28.0,0,0,22.525,Third,man,True,no,True
1,2,female,19.0,0,0,26.0,Second,woman,False,yes,True
0,3,male,,0,0,8.05,Third,man,True,no,True
1,1,female,60.0,1,0,75.25,First,woman,False,yes,False
0,3,male,20.0,0,0,7.8542,Third,man,True,no,True
0,1,male,45.0,0,0,35.5,First,man,True,no,True
0,3,female,,0,0,8.05,Third,woman,False,no,True
1,2,female,24.0,0,0,13.0,Second,woman,False,yes,True
0,3,male,,0,0,7.75,Third,man,True,no,True
1,3,female,,1,0,15.5,Third,woman,False,yes,False
0,3,male,39.0,1,5,31.275,Third,man,True,no,False
1,3,female,26.0,0,0,7.8542,Third,woman,False,yes,True
1,2,female,24.0,2,1,27.0,Second,woman,False,yes,False
1,2,female,36.0,0,0,13.0,Second,woman,False,yes,True
0,1,male,37.0,0,1,29.7,First,man,True,no,False
1,1,female,,0,1,55.0,First,woman,False,yes,False
0,2,male,28.0,0,0,10.5,Second,man,True,no,True
0,3,male,19.0,0,0,7.8958,Third,man,True,no,True
0,3,male,43.0,0,0,6.45,Third,man,True,no,True
1,1,male,25.0,1,0,91.0792,First,man,True,yes,False
0,3,male,47.0,0,0,9.0,Third,man,True,no,True
1,1,female,16.0,0,0,86.5,First,woman,False,yes,True
1,2,male,0.83,1,1,18.75,Second,child,False,yes,False
0,3,male,22.0,0,0,7.125,Third,man,True,no,True
0,3,male,19.0,0,0,7.8958,Third,man,True,no,True
0,2,male,28.0,0,0,13.5,Second,man,True,no,True
0,3,male,14.0,4,1,39.6875,Third,child,False,no,False
0,3,male,36.0,0,0,7.8958,Third,man,True,no,True
0,1,male,29.0,0,0,30.0,First,man,True,no,True
0,3,male,42.0,0,0,7.65,Third,man,True,no,True
0,1,male,,0,0,52.0,First,man,True,no,True
1,1,male,27.0,0,0,76.7292,First,man,True,yes,True
1,3,male,29.0,0,0,7.75,Third,man,True,yes,True
1,2,female,5.0,1,2,27.75,Second,child,False,yes,False
0,3,female,22.0,0,0,9.8375,Third,woman,False,no,True
0,3,male,,0,0,7.75,Third,man,True,no,True
1,2,female,30.0,0,0,13.0,Second,woman,False,yes,True
0,1,male,62.0,0,0,26.55,First,man,True,no,True
1,2,male,34.0,0,0,13.0,Second,man,True,yes,True
0,3,male,28.0,0,0,7.8958,Third,man,True,no,True
0,3,male,,0,0,7.75,Third,man,True,no,True
0,3,male,44.0,0,1,16.1,Third,man,True,no,False
0,3,female,45.0,0,0,7.75,Third,woman,False,no,True
0,2,male,19.0,0,0,13.0,Second,man,True,no,True
0,2,male,18.0,0,0,73.5,Second,man,True,no,True
0,3,male,31.0,0,0,7.775,Third,man,True,no,True
0,2,male,,0,0,0.0,Second,man,True,no,True
0,3,male,21.0,0,0,7.25,Third,man,True,no,True
0,2,male,25.0,0,0,13.0,Second,man,True,no,True
0,3,male,32.0,0,0,8.3625,Third,man,True,no,True
0,2,male,30.0,1,0,24.0,Second,man,True,no,False
0,3,male,40.0,0,0,7.225,Third,man,True,no,True
0,3,male,33.0,0,0,7.8958,Third,man,True,no,True
0,3,male,36.0,0,0,7.4958,Third,man,True,no,True
1,1,female,47.0,1,1,52.5542,First,woman,False,yes,False
0,2,male,34.0,1,0,26.0,Second,man,True,no,False
0,3,male,19.0,0,0,8.05,Third,man,True,no,True
0,3,male,,0,0,8.05,Third,man,True,no,True
1,2,female,50.0,0,0,10.5,Second,woman,False,yes,True
1,3,female,,2,0,23.25,Third,woman,False,yes,False
0,3,male,,1,0,7.75,Third,man,True,no,False
0,2,male,,0,0,0.0,Second,man,True,no,True
0,3,male,,0,0,8.05,Third,man,True,no,True
0,3,male,35.0,0,0,8.05,Third,man,True,no,True
0,2,male,35.0,0,0,26.0,Second,man,True,no,True
1,1,female,18.0,1,0,227.525,First,woman,False,yes,False
0,3,female,16.0,5,2,46.9,Third,woman,False,no,False
1,3,female,21.0,0,0,7.65,Third,woman,False,yes,True
0,1,male,,0,0,31.0,First,man,True,no,True
0,3,male,41.0,2,0,14.1083,Third,man,True,no,False
1,1,female,14.0,1,2,120.0,First,child,False,yes,False
0,1,male,21.0,0,1,77.2875,First,man,True,no,False
